config,app,input,threads,run,time_s,status
clang-plain,cc,kron26,64,4,0.10876,ok
clang-plainje,cc,kron26,64,4,0.11061,ok
clang-chonk,cc,kron26,64,4,0.10812,ok
clang-plain,cc,kron26,64,5,0.11007,ok
clang-plainje,cc,kron26,64,5,0.11325,ok
clang-chonk,cc,kron26,64,5,0.10775,ok
clang-plain,cc,kron26,64,6,0.11130,ok
clang-plainje,cc,kron26,64,6,0.11585,ok
clang-chonk,cc,kron26,64,6,0.10800,ok
clang-plain,cc,kron26,64,7,0.11067,ok
clang-plainje,cc,kron26,64,7,0.10820,ok
clang-chonk,cc,kron26,64,7,0.10875,ok
clang-plain,cc,kron26,64,8,0.11146,ok
clang-plainje,cc,kron26,64,8,0.10909,ok
clang-chonk,cc,kron26,64,8,0.10801,ok
clang-plain,cc,kron26,64,9,0.11374,ok
clang-plainje,cc,kron26,64,9,0.10911,ok
clang-chonk,cc,kron26,64,9,0.11278,ok
clang-plain,cc,kron26,64,10,0.11465,ok
clang-plainje,cc,kron26,64,10,0.10784,ok
clang-chonk,cc,kron26,64,10,0.11111,ok
clang-plain,cc,kron26,64,11,0.10806,ok
clang-plainje,cc,kron26,64,11,0.10788,ok
clang-chonk,cc,kron26,64,11,0.11315,ok
clang-plain,cc,kron26,64,12,0.10722,ok
clang-plainje,cc,kron26,64,12,0.10947,ok
clang-chonk,cc,kron26,64,12,0.11632,ok
clang-plain,cc,kron26,64,13,0.10873,ok
clang-plainje,cc,kron26,64,13,0.11104,ok
clang-chonk,cc,kron26,64,13,0.10526,ok
clang-plain,cc,kron26,64,14,0.10858,ok
clang-plainje,cc,kron26,64,14,0.11395,ok
clang-chonk,cc,kron26,64,14,0.10764,ok
clang-plain,cc,kron26,64,15,0.10955,ok
clang-plainje,cc,kron26,64,15,0.11502,ok
clang-chonk,cc,kron26,64,15,0.10951,ok
clang-plain,cc,kron26,64,16,0.11035,ok
clang-plainje,cc,kron26,64,16,0.10776,ok
clang-chonk,cc,kron26,64,16,0.10508,ok
clang-plain,cc,kron26,64,17,0.11456,ok
clang-plainje,cc,kron26,64,17,0.11009,ok
clang-chonk,cc,kron26,64,17,0.11077,ok
clang-plain,cc,kron26,64,18,0.11027,ok
clang-plainje,cc,kron26,64,18,0.10834,ok
clang-chonk,cc,kron26,64,18,0.11031,ok
clang-plain,cc,kron26,64,19,0.10782,ok
clang-plainje,cc,kron26,64,19,0.10854,ok
clang-chonk,cc,kron26,64,19,0.11308,ok
clang-plain,cc,kron26,64,20,0.11299,ok
clang-plainje,cc,kron26,64,20,0.10965,ok
clang-chonk,cc,kron26,64,20,0.11626,ok
clang-plain,cc,kron26,64,21,0.10912,ok
clang-plainje,cc,kron26,64,21,0.11241,ok
clang-chonk,cc,kron26,64,21,0.10465,ok
clang-plain,cc,kron26,64,22,0.10720,ok
clang-plainje,cc,kron26,64,22,0.11252,ok
clang-chonk,cc,kron26,64,22,0.10614,ok
clang-plain,cc,kron26,64,23,0.10759,ok
clang-plainje,cc,kron26,64,23,0.11608,ok
clang-chonk,cc,kron26,64,23,0.10601,ok
clang-plain,cc,kron26,64,24,0.11126,ok
clang-plainje,cc,kron26,64,24,0.10944,ok
clang-chonk,cc,kron26,64,24,0.10799,ok
clang-plain,cc,kron26,64,25,0.11328,ok
clang-plainje,cc,kron26,64,25,0.10737,ok
clang-chonk,cc,kron26,64,25,0.10855,ok
clang-plain,cc,kron26,64,26,0.11509,ok
clang-plainje,cc,kron26,64,26,0.10961,ok
clang-chonk,cc,kron26,64,26,0.11269,ok
clang-plain,cc,kron26,64,27,0.10827,ok
clang-plainje,cc,kron26,64,27,0.10765,ok
clang-chonk,cc,kron26,64,27,0.11570,ok
